checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,health_status,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,y
0<=X<200,36,critical/other existing credit,new car,2820.0,<100,<1,4,male div/sep,none,4,car,27,none,own,2,skilled,1,none,yes,bad,-0.8418625449645639,-0.742153288438502,0.5210756292486178,,0.07016790994988653,0.5364614997561298,0.3285472054613271,0.4734309160329645,0.8150645152031195,0.5514286109665332,False
0<=X<200,15,no credits/all paid,new car,1778.0,<100,<1,2,female div/dep/mar,none,1,real estate,26,none,rent,2,unemp/unskilled non res,1,none,yes,bad,-0.8897770996923121,-0.35302996276605786,0.31971946832241793,-0.8368268603065436,0.5182242955041148,0.5484053681095948,0.9085129521055073,0.6268958045767107,0.11450749255219184,0.6088141790190431,True
<0,12,existing paid,radio/tv,1107.0,<100,1<=X<4,2,male single,none,2,real estate,20,none,rent,1,high qualif/self emp/mgmt,2,yes,yes,good,0.7032388100960875,0.3089633670528775,0.8264856692730524,0.5251198898088839,0.6203075267664367,0.40345117449587387,0.1912015934532626,0.8516540931078079,0.7168120574583792,0.7719929423295867,True
no checking,12,existing paid,business,1076.0,<100,1<=X<4,2,male mar/wid,none,2,real estate,26,none,own,1,skilled,1,yes,no,good,-0.4683213750117319,-0.6083411115892453,0.5413427770231783,-0.9155988534624764,0.6889201111030105,0.34984542906684113,0.29988820594871524,0.34419236355031824,0.5031098577266786,0.7262048538887379,False
0<=X<200,18,existing paid,business,1913.0,>=1000,<1,3,male mar/wid,none,3,real estate,36,bank,own,1,skilled,1,yes,yes,good,-0.4537629128927012,-0.8348352270845663,,,0.028460350328272543,0.8076420350342599,0.5498958572162632,0.692897322450639,0.8187499497557839,0.5355599788768265,False
>=200,24,existing paid,furniture/equipment,3749.0,<100,<1,2,female div/dep/mar,none,4,car,26,none,own,1,skilled,1,none,yes,good,-0.990834401625848,,0.739233560468196,,0.4308913894191342,0.3076392137750019,0.485334228030634,0.777462180261038,0.8820437262234125,0.7266366448756245,False
<0,36,existing paid,furniture/equipment,3446.0,<100,>=7,4,male single,none,2,car,42,none,own,1,skilled,2,none,yes,bad,-0.8516357995231348,0.49160923526071776,0.18768928464476714,0.8210816159527053,0.189440175024003,0.13582602492833673,0.4102644323564886,0.2071109824599623,0.9345630605088487,0.6645699560087496,False
<0,6,existing paid,furniture/equipment,428.0,<100,>=7,2,female div/dep/mar,none,1,life insurance,49,bank,own,1,skilled,1,yes,yes,good,0.9978575771987528,,0.7913919840208874,0.4255404542800237,0.43215257926554085,0.027550251145688542,0.29135579917473864,0.456811019052744,0.7787942457922304,0.33987955909182677,False
no checking,36,delayed previously,radio/tv,4454.0,<100,1<=X<4,4,female div/dep/mar,none,4,real estate,34,none,own,2,skilled,1,none,yes,good,-0.8480946351299008,,0.5158786791289445,-0.9598336681305707,0.18956484961221753,0.35455588674873695,0.8320789827675436,0.7180358815988548,0.7801046111672112,0.9573045262897861,False
no checking,18,existing paid,radio/tv,433.0,<100,unemployed,3,female div/dep/mar,co applicant,4,real estate,22,none,rent,1,skilled,1,none,yes,bad,,,0.2600190419205485,-0.013799680715848549,0.3596160629940045,0.2552350196926225,0.5482245075263651,0.22537461829640382,0.6309030035523026,0.47329576843094634,True
no checking,6,delayed previously,radio/tv,932.0,<100,1<=X<4,3,female div/dep/mar,none,2,real estate,24,none,own,1,skilled,1,none,yes,good,-0.9795808129293723,-0.9770939890362742,0.5334601409642762,-0.6563453168523593,0.17730920156331598,0.9775405295867554,0.6034283699774403,0.3525281563406585,0.28297909925028675,0.9697093643039213,False
0<=X<200,30,existing paid,new car,2150.0,<100,1<=X<4,4,female div/dep/mar,guarantor,2,no known property,24,bank,own,1,skilled,1,none,yes,bad,0.6402210406477619,-0.5145107547214025,0.14367594750678295,0.9985410729738622,0.6664294688522662,0.9800526782430455,0.845349489405172,0.5099091351900478,0.8554397335561057,0.7770617035882728,True
0<=X<200,12,existing paid,new car,7472.0,no known savings,unemployed,1,female div/dep/mar,none,2,real estate,24,none,rent,1,unemp/unskilled non res,1,none,yes,good,0.9655768855203429,,0.8365306670126144,-0.9472855742152365,0.2926768971934576,0.40685660299620097,0.8637469775082113,0.5762563239812147,0.7146794207543339,0.9439092973361606,False
